id,year,age,race,sex,educ,partyid,relactiv,abany,abdefect,abnomore,abhlth,abpoor,abrape,absingle
54,1972,22,White,Female,12,"Ind,Near Rep",NA,NA,1,0,1,0,1,0
55,1972,53,White,Female,10,Strong Democrat,NA,NA,1,1,1,1,1,1
56,1972,35,White,Male,12,Independent,NA,NA,1,0,1,1,1,0
57,1972,31,White,Female,14,Strong Democrat,NA,NA,1,0,1,1,1,0
58,1972,30,White,Female,12,Strong Democrat,NA,NA,1,0,1,0,0,0
59,1972,37,White,Female,12,Strong Democrat,NA,NA,1,0,1,1,1,1
60,1972,57,White,Female,11,Not Str Democrat,NA,NA,1,1,1,1,1,1
61,1972,39,White,Male,12,Not Str Republican,NA,NA,1,1,1,1,1,0
62,1972,62,White,Female,9,Not Str Republican,NA,NA,0,0,1,0,1,0
63,1972,51,White,Male,12,Strong Republican,NA,NA,1,1,1,0,1,0
64,1972,43,White,Male,11,Strong Republican,NA,NA,0,0,1,0,1,0
65,1972,39,White,Male,12,Not Str Republican,NA,NA,1,0,1,0,1,0
66,1972,52,White,Female,8,Other Party,NA,NA,1,1,1,1,1,1
67,1972,30,White,Male,12,Other Party,NA,NA,1,0,1,1,1,1
68,1972,47,White,Female,12,Independent,NA,NA,1,1,1,1,1,1
69,1972,31,White,Female,12,"Ind,Near Dem",NA,NA,1,0,1,0,1,1
70,1972,25,White,Male,16,Not Str Republican,NA,NA,1,0,1,0,1,0
71,1972,45,White,Male,7,Not Str Democrat,NA,NA,1,0,1,0,1,0
72,1972,30,White,Female,12,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
73,1972,68,White,Male,8,Not Str Republican,NA,NA,0,0,1,0,1,0
74,1972,63,White,Female,11,Independent,NA,NA,1,0,1,0,1,0
75,1972,19,White,Male,12,Not Str Democrat,NA,NA,NA,0,1,0,1,0
76,1972,23,White,Male,16,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
77,1972,46,White,Female,10,Not Str Democrat,NA,NA,1,1,1,1,1,1
78,1972,55,White,Female,8,Strong Democrat,NA,NA,1,0,1,0,1,1
79,1972,22,White,Male,14,Not Str Republican,NA,NA,NA,1,0,1,1,1
80,1972,55,White,Female,12,Independent,NA,NA,1,0,NA,NA,1,0
81,1972,44,White,Male,7,Not Str Democrat,NA,NA,NA,NA,1,NA,1,NA
82,1972,41,White,Female,12,"Ind,Near Rep",NA,NA,1,1,1,1,1,1
83,1972,49,White,Male,15,"Ind,Near Rep",NA,NA,1,1,1,1,1,1
84,1972,28,White,Female,15,Other Party,NA,NA,1,1,1,0,1,0
85,1972,21,White,Male,14,Independent,NA,NA,1,0,1,1,1,1
86,1972,26,White,Male,17,Not Str Republican,NA,NA,1,1,1,1,1,1
87,1972,31,White,Female,20,Not Str Democrat,NA,NA,1,1,1,1,1,1
88,1972,28,White,Female,18,Other Party,NA,NA,1,1,1,1,1,1
89,1972,26,White,Male,17,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
90,1972,20,Black,Female,14,Not Str Democrat,NA,NA,1,1,1,0,1,0
91,1972,25,White,Male,16,Independent,NA,NA,1,1,1,1,1,1
92,1972,57,White,Female,12,Strong Democrat,NA,NA,1,1,1,1,1,1
93,1972,58,White,Female,13,Other Party,NA,NA,0,0,0,0,0,0
94,1972,54,White,Male,14,Not Str Republican,NA,NA,1,1,1,1,1,1
95,1972,35,White,Female,16,Not Str Democrat,NA,NA,1,1,1,1,1,1
96,1972,40,White,Male,14,Strong Republican,NA,NA,1,1,1,1,1,1
97,1972,57,White,Male,15,Not Str Republican,NA,NA,1,1,1,1,1,1
98,1972,64,White,Female,16,Strong Republican,NA,NA,1,1,1,1,1,1
99,1972,34,White,Male,15,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
100,1972,25,White,Female,12,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
101,1972,28,White,Male,9,Not Str Republican,NA,NA,1,1,1,0,1,0
102,1972,41,White,Male,13,Not Str Democrat,NA,NA,1,0,1,0,0,0
103,1972,36,White,Female,12,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
104,1972,31,White,Male,15,Strong Democrat,NA,NA,0,0,0,0,0,0
105,1972,45,White,Male,12,Not Str Democrat,NA,NA,1,1,1,1,1,1
106,1972,74,White,Female,8,Not Str Democrat,NA,NA,0,1,1,1,1,0
107,1972,64,White,Female,12,Strong Republican,NA,NA,1,0,1,0,1,NA
108,1972,23,White,Female,13,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
109,1972,27,White,Female,16,Not Str Democrat,NA,NA,1,1,1,1,1,NA
110,1972,42,White,Male,13,Strong Democrat,NA,NA,0,0,0,0,0,0
111,1972,47,Black,Male,3,NA,NA,NA,1,0,1,1,1,1
112,1972,26,Black,Male,12,Strong Democrat,NA,NA,0,0,1,0,1,0
113,1972,34,White,Female,10,Not Str Democrat,NA,NA,1,0,1,0,1,NA
114,1972,52,White,Male,14,Strong Democrat,NA,NA,1,1,1,1,1,1
115,1972,24,White,Male,12,Strong Democrat,NA,NA,1,1,1,0,1,1
116,1972,36,White,Female,14,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
117,1972,25,Black,Male,8,Not Str Democrat,NA,NA,0,0,1,0,0,0
118,1972,46,Black,Female,11,Independent,NA,NA,1,1,1,1,1,0
119,1972,54,Black,Female,2,Strong Republican,NA,NA,0,0,1,0,0,0
120,1972,27,Black,Female,12,Not Str Democrat,NA,NA,1,1,1,0,1,1
121,1972,20,Black,Female,12,"Ind,Near Rep",NA,NA,0,1,0,1,1,1
122,1972,53,Black,Male,6,Strong Democrat,NA,NA,0,0,0,0,0,0
123,1972,47,Black,Male,3,Strong Democrat,NA,NA,0,0,0,0,0,0
124,1972,70,Black,Male,8,Strong Democrat,NA,NA,1,NA,1,1,0,0
125,1972,69,White,Female,8,Strong Democrat,NA,NA,1,0,1,1,1,1
126,1972,49,White,Female,12,Strong Democrat,NA,NA,1,1,1,1,1,1
127,1972,29,White,Female,16,Not Str Republican,NA,NA,1,1,1,1,1,1
128,1972,48,White,Female,12,"Ind,Near Dem",NA,NA,1,0,1,0,1,0
129,1972,67,White,Female,9,Not Str Democrat,NA,NA,0,0,0,0,1,0
130,1972,22,White,Male,12,Strong Democrat,NA,NA,1,1,1,1,1,1
131,1972,75,White,Male,6,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
132,1972,38,White,Male,12,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
133,1972,46,White,Male,15,"Ind,Near Rep",NA,NA,0,0,0,0,0,0
134,1972,63,White,Female,8,Not Str Democrat,NA,NA,0,0,NA,0,0,0
135,1972,34,White,Female,11,Not Str Democrat,NA,NA,1,1,1,1,1,1
136,1972,57,White,Male,4,Not Str Democrat,NA,NA,1,0,1,0,NA,0
137,1972,22,White,Female,13,Not Str Democrat,NA,NA,1,0,1,1,1,1
138,1972,46,White,Male,8,Other Party,NA,NA,1,0,1,0,1,0
139,1972,73,White,Female,11,Not Str Republican,NA,NA,NA,0,1,0,1,0
140,1972,73,White,Male,12,Not Str Republican,NA,NA,1,0,1,0,1,0
141,1972,53,White,Male,12,Not Str Republican,NA,NA,1,1,1,1,1,1
142,1972,84,White,Female,12,Not Str Democrat,NA,NA,1,0,1,NA,1,0
143,1972,27,White,Male,14,Independent,NA,NA,1,1,1,1,1,1
144,1972,69,White,Female,10,Strong Republican,NA,NA,1,0,1,0,0,0
145,1972,82,White,Female,5,Not Str Democrat,NA,NA,0,0,0,0,0,0
146,1972,67,White,Female,16,Not Str Democrat,NA,NA,1,0,1,1,1,1
147,1972,41,White,Male,12,"Ind,Near Dem",NA,NA,1,0,1,0,1,0
148,1972,72,White,Male,2,Not Str Democrat,NA,NA,0,0,1,0,0,0
149,1972,38,White,Male,10,Not Str Democrat,NA,NA,1,1,1,0,1,1
150,1972,59,White,Female,12,Not Str Republican,NA,NA,1,NA,1,1,1,NA
151,1972,42,White,Male,12,Independent,NA,NA,1,1,1,1,1,1
152,1972,48,White,Male,12,"Ind,Near Dem",NA,NA,1,1,1,0,1,0
153,1972,59,White,Female,10,Strong Republican,NA,NA,1,1,1,1,1,1
154,1972,39,White,Female,11,Strong Democrat,NA,NA,1,0,1,0,0,0
155,1972,49,White,Female,12,"Ind,Near Dem",NA,NA,1,0,1,0,1,0
156,1972,33,White,Female,12,Not Str Democrat,NA,NA,1,1,1,1,1,1
157,1972,53,White,Female,11,Strong Democrat,NA,NA,1,1,1,1,1,1
158,1972,30,White,Female,12,Independent,NA,NA,1,1,1,1,1,1
159,1972,25,White,Male,12,"Ind,Near Dem",NA,NA,0,0,1,0,1,0
160,1972,36,White,Female,9,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
161,1972,30,White,Male,12,"Ind,Near Rep",NA,NA,1,0,1,0,0,0
162,1972,28,White,Male,9,"Ind,Near Rep",NA,NA,1,0,1,0,1,0
163,1972,52,White,Male,8,Independent,NA,NA,1,0,1,0,0,0
164,1972,44,White,Male,10,Strong Democrat,NA,NA,1,0,1,0,0,0
165,1972,50,White,Male,18,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
166,1972,38,White,Female,18,Independent,NA,NA,1,1,1,1,1,1
167,1972,26,White,Male,18,Independent,NA,NA,1,0,1,1,1,NA
168,1972,28,White,Female,12,Independent,NA,NA,1,1,1,1,1,1
169,1972,81,White,Female,14,Strong Republican,NA,NA,1,1,1,1,1,0
170,1972,55,White,Female,12,"Ind,Near Dem",NA,NA,NA,0,NA,0,0,0
171,1972,76,White,Male,12,Strong Republican,NA,NA,1,1,1,1,1,1
172,1972,29,White,Male,12,Independent,NA,NA,1,1,1,1,1,1
173,1972,19,White,Male,10,Other Party,NA,NA,1,0,1,0,NA,0
174,1972,76,White,Female,10,Not Str Republican,NA,NA,0,0,1,0,1,0
175,1972,61,White,Male,19,Strong Republican,NA,NA,1,1,1,1,1,1
176,1972,26,White,Male,16,Not Str Republican,NA,NA,1,0,1,1,1,0
177,1972,39,White,Female,14,"Ind,Near Rep",NA,NA,1,1,1,1,1,1
178,1972,19,White,Male,9,Other Party,NA,NA,1,1,1,1,1,1
179,1972,26,White,Female,16,"Ind,Near Dem",NA,NA,1,1,1,1,1,0
180,1972,21,White,Female,12,"Ind,Near Dem",NA,NA,1,0,1,1,1,0
181,1972,45,Black,Female,10,Strong Democrat,NA,NA,1,0,1,0,1,0
182,1972,27,Black,Female,12,"Ind,Near Dem",NA,NA,1,0,1,NA,1,NA
183,1972,76,Black,Male,1,Strong Democrat,NA,NA,0,0,0,0,0,0
184,1972,63,Black,Female,5,Strong Democrat,NA,NA,1,0,1,NA,1,NA
185,1972,52,Black,Male,6,Strong Democrat,NA,NA,0,0,0,0,0,0
186,1972,65,Black,Male,1,Strong Democrat,NA,NA,0,0,0,0,0,0
187,1972,59,Black,Male,2,Not Str Democrat,NA,NA,1,0,1,0,1,0
188,1972,26,White,Male,14,Not Str Democrat,NA,NA,1,1,1,1,1,1
189,1972,41,White,Female,16,"Ind,Near Rep",NA,NA,1,1,1,1,1,1
190,1972,56,White,Male,18,Independent,NA,NA,NA,0,0,0,1,0
191,1972,62,White,Male,15,"Ind,Near Rep",NA,NA,1,1,1,1,1,1
192,1972,29,White,Male,18,"Ind,Near Rep",NA,NA,1,0,1,0,1,0
193,1972,25,White,Female,16,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
194,1972,41,White,Female,12,Strong Republican,NA,NA,NA,0,1,0,1,1
195,1972,21,White,Female,12,"Ind,Near Dem",NA,NA,0,0,1,0,1,0
196,1972,49,White,Female,12,Strong Democrat,NA,NA,1,1,1,1,1,1
197,1972,38,White,Male,9,Not Str Democrat,NA,NA,1,0,1,0,1,1
198,1972,50,White,Male,12,Not Str Democrat,NA,NA,1,NA,1,NA,1,NA
199,1972,43,White,Male,12,Not Str Democrat,NA,NA,1,1,1,1,1,1
200,1972,32,White,Male,13,Not Str Republican,NA,NA,1,0,1,0,1,0
201,1972,55,White,Female,12,Strong Republican,NA,NA,1,1,1,1,1,1
202,1972,27,White,Female,14,Other Party,NA,NA,1,1,1,1,1,1
203,1972,56,White,Male,13,Independent,NA,NA,1,1,1,1,1,0
204,1972,48,White,Female,8,Not Str Democrat,NA,NA,1,NA,1,1,1,1
205,1972,56,White,Male,10,Strong Democrat,NA,NA,1,0,1,0,1,0
206,1972,44,White,Female,3,Strong Democrat,NA,NA,1,0,1,1,1,0
207,1972,25,White,Female,9,Not Str Democrat,NA,NA,1,0,1,0,1,0
208,1972,32,White,Male,10,Not Str Democrat,NA,NA,1,0,1,0,1,0
209,1972,33,White,Female,13,Not Str Republican,NA,NA,1,1,1,1,1,1
210,1972,48,White,Male,11,Not Str Democrat,NA,NA,0,0,0,0,0,0
211,1972,45,White,Male,12,Strong Democrat,NA,NA,1,0,1,1,1,0
212,1972,45,White,Female,10,Not Str Democrat,NA,NA,1,1,1,1,1,1
213,1972,72,White,Male,7,Strong Democrat,NA,NA,1,1,NA,0,0,NA
214,1972,45,Black,Female,9,Strong Democrat,NA,NA,1,NA,NA,0,0,0
215,1972,70,Black,Female,6,Not Str Democrat,NA,NA,1,0,1,0,NA,1
216,1972,31,Black,Female,14,Not Str Democrat,NA,NA,1,0,1,0,1,0
217,1972,20,Black,Male,12,Not Str Republican,NA,NA,1,1,1,1,1,0
218,1972,22,Black,Female,9,Other Party,NA,NA,NA,0,1,NA,0,0
219,1972,63,Black,Male,4,Strong Democrat,NA,NA,0,0,0,0,0,0
220,1972,70,Black,Male,6,Strong Democrat,NA,NA,0,0,0,0,0,0
221,1972,68,White,Male,11,Other Party,NA,NA,1,0,1,0,NA,0
222,1972,43,White,Female,12,Not Str Republican,NA,NA,0,0,0,0,0,0
223,1972,53,White,Female,17,Strong Republican,NA,NA,1,0,1,1,1,1
224,1972,44,White,Female,12,Not Str Republican,NA,NA,1,NA,1,1,1,NA
225,1972,37,White,Female,15,Not Str Republican,NA,NA,1,NA,1,1,1,NA
226,1972,55,White,Male,12,Not Str Republican,NA,NA,1,0,1,0,1,0
227,1972,52,White,Male,14,Strong Republican,NA,NA,1,1,1,1,1,1
228,1972,64,White,Male,10,Not Str Republican,NA,NA,1,0,1,0,1,1
229,1972,NA,White,Male,12,Not Str Republican,NA,NA,1,1,1,1,1,1
230,1972,64,White,Male,11,Not Str Democrat,NA,NA,1,1,1,NA,1,NA
231,1972,27,White,Female,16,"Ind,Near Dem",NA,NA,1,0,1,0,1,0
232,1972,28,White,Male,14,"Ind,Near Rep",NA,NA,1,0,1,0,0,0
233,1972,22,White,Male,15,"Ind,Near Rep",NA,NA,1,1,1,1,1,1
234,1972,61,White,Female,14,"Ind,Near Dem",NA,NA,1,0,1,0,1,0
235,1972,82,White,Female,15,Not Str Republican,NA,NA,NA,0,1,0,NA,0
236,1972,22,White,Male,12,Independent,NA,NA,0,0,0,0,0,0
237,1972,30,White,Female,10,Independent,NA,NA,1,0,1,0,1,0
238,1972,29,White,Female,12,Strong Democrat,NA,NA,NA,NA,1,1,1,1
239,1972,60,White,Male,4,Strong Democrat,NA,NA,0,0,0,0,0,0
240,1972,39,White,Female,4,Other Party,NA,NA,1,NA,1,NA,1,NA
241,1972,21,White,Female,9,Not Str Democrat,NA,NA,1,0,1,0,0,0
242,1972,56,White,Male,7,Strong Democrat,NA,NA,0,0,1,0,1,0
243,1972,72,White,Male,5,Strong Democrat,NA,NA,0,0,0,0,0,0
244,1972,61,White,Male,8,Not Str Democrat,NA,NA,1,1,1,1,1,1
245,1972,71,White,Male,20,Not Str Democrat,NA,NA,1,1,1,1,1,1
246,1972,56,White,Female,9,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
247,1972,71,White,Female,5,Not Str Republican,NA,NA,1,0,1,0,1,0
248,1972,48,White,Male,14,Not Str Democrat,NA,NA,1,0,1,1,1,1
249,1972,43,White,Female,12,"Ind,Near Rep",NA,NA,1,1,1,1,1,0
250,1972,61,White,Female,12,Strong Democrat,NA,NA,1,0,1,NA,1,1
251,1972,70,White,Male,12,Strong Democrat,NA,NA,1,1,1,0,1,1
252,1972,48,White,Female,11,Not Str Republican,NA,NA,1,0,1,0,0,0
253,1972,34,White,Female,12,Independent,NA,NA,1,0,1,1,1,1
254,1972,19,White,Male,12,Strong Democrat,NA,NA,1,0,1,1,1,0
255,1972,52,White,Female,8,Not Str Democrat,NA,NA,1,0,1,0,1,0
256,1972,30,White,Male,14,Strong Democrat,NA,NA,1,0,1,0,1,0
257,1972,60,White,Male,12,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
258,1972,50,White,Male,16,Strong Democrat,NA,NA,1,1,1,1,1,1
259,1972,47,White,Female,14,Strong Democrat,NA,NA,0,0,1,0,1,1
260,1972,50,White,Female,5,Not Str Republican,NA,NA,1,0,1,0,NA,0
261,1972,68,White,Female,5,Strong Democrat,NA,NA,0,0,0,0,0,0
262,1972,50,White,Male,12,Strong Democrat,NA,NA,1,1,1,1,1,1
263,1972,21,White,Male,10,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
264,1972,72,White,Female,3,Other Party,NA,NA,0,0,0,0,0,0
265,1972,52,White,Male,12,Not Str Republican,NA,NA,NA,0,NA,0,NA,NA
266,1972,32,White,Female,12,Other Party,NA,NA,1,1,1,1,1,1
267,1972,52,White,Male,12,Independent,NA,NA,1,0,1,0,1,0
268,1972,60,White,Female,12,Not Str Democrat,NA,NA,NA,0,NA,0,NA,NA
269,1972,32,Black,Male,12,Not Str Republican,NA,NA,1,0,1,0,0,0
270,1972,60,White,Female,9,Not Str Democrat,NA,NA,0,0,NA,0,1,0
271,1972,80,White,Female,7,Strong Democrat,NA,NA,1,0,1,NA,0,0
272,1972,58,Black,Male,8,Not Str Democrat,NA,NA,1,0,1,0,1,0
273,1972,36,Black,Female,12,Not Str Republican,NA,NA,1,0,1,0,1,0
274,1972,31,Black,Female,12,Not Str Democrat,NA,NA,1,0,1,1,1,0
275,1972,30,Black,Male,16,Not Str Democrat,NA,NA,1,0,1,0,1,0
276,1972,63,White,Male,16,Independent,NA,NA,1,1,1,1,1,1
277,1972,34,Black,Male,13,Independent,NA,NA,1,1,1,1,1,1
278,1972,29,White,Female,12,Not Str Republican,NA,NA,1,0,1,NA,1,NA
279,1972,36,White,Female,5,Not Str Democrat,NA,NA,0,0,0,0,0,0
280,1972,39,White,Female,12,Not Str Democrat,NA,NA,1,1,1,1,1,0
281,1972,73,White,Male,8,Strong Democrat,NA,NA,0,0,NA,0,1,1
282,1972,38,White,Male,10,Other Party,NA,NA,1,NA,1,0,1,0
283,1972,55,White,Male,13,Not Str Republican,NA,NA,1,1,1,1,1,1
284,1972,30,White,Male,12,Other Party,NA,NA,0,0,0,0,0,0
285,1972,44,White,Female,12,Not Str Democrat,NA,NA,1,0,1,NA,1,0
286,1972,43,White,Female,8,"Ind,Near Rep",NA,NA,1,NA,1,0,1,0
287,1972,38,White,Male,8,Not Str Democrat,NA,NA,1,0,1,0,0,0
288,1972,44,White,Female,12,Not Str Democrat,NA,NA,1,0,1,0,1,0
289,1972,75,White,Female,9,"Ind,Near Dem",NA,NA,0,0,0,0,0,0
290,1972,43,White,Male,18,Not Str Republican,NA,NA,1,1,1,1,1,1
291,1972,43,White,Female,9,Independent,NA,NA,1,1,1,1,1,1
292,1972,27,White,Male,12,Independent,NA,NA,1,0,1,0,0,0
293,1972,58,White,Male,10,"Ind,Near Dem",NA,NA,0,0,NA,0,0,0
294,1972,45,White,Male,12,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
295,1972,31,White,Male,12,Independent,NA,NA,1,1,1,1,1,1
296,1972,23,White,Female,12,Strong Democrat,NA,NA,1,0,1,0,1,0
297,1972,69,White,Male,7,Not Str Democrat,NA,NA,1,1,1,1,1,0
298,1972,35,White,Female,8,Not Str Democrat,NA,NA,NA,0,1,0,0,0
299,1972,43,White,Female,12,Strong Democrat,NA,NA,NA,NA,NA,NA,NA,NA
300,1972,56,White,Female,7,Other Party,NA,NA,1,0,1,0,1,0
301,1972,36,Black,Female,11,Strong Democrat,NA,NA,0,0,1,0,1,0
302,1972,47,Black,Female,6,Strong Democrat,NA,NA,0,0,0,0,1,0
303,1972,29,Black,Male,14,"Ind,Near Dem",NA,NA,NA,NA,NA,NA,NA,NA
304,1972,60,Black,Male,12,Strong Democrat,NA,NA,1,1,1,1,1,1
305,1972,37,Black,Female,10,Not Str Democrat,NA,NA,1,1,1,1,1,1
306,1972,20,Black,Male,12,Strong Democrat,NA,NA,0,0,1,0,1,1
307,1972,55,Black,Female,9,Not Str Democrat,NA,NA,0,0,1,0,1,0
308,1972,71,Black,Female,NA,Not Str Democrat,NA,NA,0,0,1,0,0,0
309,1972,30,Black,Male,11,Strong Democrat,NA,NA,0,0,0,0,0,0
310,1972,59,Black,Female,9,Strong Democrat,NA,NA,0,0,0,0,0,0
311,1972,42,Black,Female,12,Not Str Republican,NA,NA,1,0,1,1,1,1
312,1972,55,Black,Female,11,Not Str Republican,NA,NA,1,0,1,1,1,1
313,1972,24,Black,Male,12,Strong Democrat,NA,NA,1,0,1,1,1,0
314,1972,30,Black,Male,7,Not Str Democrat,NA,NA,1,1,1,1,1,1
315,1972,70,Black,Male,0,Strong Democrat,NA,NA,1,0,1,0,1,0
316,1972,43,Black,Female,7,Not Str Republican,NA,NA,0,0,1,0,1,0
317,1972,45,White,Male,11,"Ind,Near Dem",NA,NA,1,0,1,0,1,0
318,1972,25,White,Male,16,Strong Democrat,NA,NA,1,0,1,1,1,0
319,1972,37,White,Female,0,Other Party,NA,NA,1,1,1,1,1,1
320,1972,22,White,Male,14,Not Str Democrat,NA,NA,1,1,1,0,0,0
321,1972,27,White,Female,8,Other Party,NA,NA,1,0,1,1,1,0
322,1972,28,White,Female,18,Strong Democrat,NA,NA,1,0,1,0,1,0
323,1972,42,White,Male,12,Not Str Democrat,NA,NA,1,1,1,0,1,1
324,1972,42,White,Female,3,Other Party,NA,NA,1,1,1,1,1,1
325,1972,30,White,Male,12,Not Str Democrat,NA,NA,0,0,0,0,1,0
326,1972,40,White,Female,12,"Ind,Near Dem",NA,NA,0,0,0,0,0,0
327,1972,37,White,Male,18,"Ind,Near Rep",NA,NA,1,1,1,1,1,1
328,1972,24,White,Female,16,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
329,1972,46,White,Male,12,Not Str Republican,NA,NA,1,0,1,1,1,0
330,1972,53,White,Female,12,"Ind,Near Dem",NA,NA,1,1,1,1,1,1
331,1972,64,White,Male,11,"Ind,Near Dem",NA,NA,0,0,1,0,1,0
332,1972,20,White,Female,13,Not Str Democrat,NA,NA,0,0,1,0,0,0
333,1972,60,White,Male,8,Strong Republican,NA,NA,NA,0,1,0,NA,0
334,1972,33,White,Male,16,Strong Republican,NA,NA,1,1,1,1,1,1
335,1972,70,White,Female,16,Other Party,NA,NA,1,NA,1,NA,1,NA
336,1972,60,White,Male,3,Not Str Republican,NA,NA,1,0,1,0,1,0
337,1972,26,White,Female,11,Other Party,NA,NA,1,1,1,0,1,0
338,1972,74,White,Female,3,Other Party,NA,NA,1,1,0,0,0,1
339,1972,33,White,Female,11,Strong Republican,NA,NA,1,0,1,1,1,0
340,1972,23,Black,Female,11,Not Str Democrat,NA,NA,1,1,0,1,1,0
341,1972,19,Black,Male,12,Not Str Democrat,NA,NA,1,0,1,0,0,0
